City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,barcelos,41.5388,-8.6151,16.08,93,100,7.79,PT,1672365574
241,leh,34.1667,77.5833,-6.42,95,99,1.27,IN,1672365574
242,isangel,-19.55,169.2667,28.06,89,100,7.2,VU,1672365575
243,pitsunda,43.1592,40.3378,3.1,48,100,2.55,GE,1672365576
244,lasa,46.6166,10.7002,1.12,94,100,0.92,IT,1672365576
245,southampton,50.904,-1.4043,9.65,95,90,3.58,GB,1672365493
246,santana do acarau,-3.4606,-40.2122,24.94,83,14,1.65,BR,1672365578
247,thinadhoo,0.5333,72.9333,26.75,77,20,3.56,MV,1672365578
248,westport,41.1415,-73.3579,6.78,74,3,3.04,US,1672365310
249,zabid,14.1951,43.3152,24.26,79,13,1.24,YE,1672365580
250,kanalia,39.5,22.8833,9.81,90,13,0.62,GR,1672365580
251,bucerias,20.75,-105.3333,20.21,65,13,1.87,MX,1672365322
252,ewa beach,21.3156,-158.0072,26.35,66,43,3.58,US,1672365582
253,hilo,19.7297,-155.09,32.38,84,6,1.34,US,1672365567
254,maple creek,49.9168,-109.4848,-3.77,86,48,1.03,CA,1672365583
255,chhapar,27.8167,74.4,13.36,34,0,4.73,IN,1672365583
256,jalu,29.0331,21.5482,12.65,81,2,2.48,LY,1672365409
257,doka,13.5167,35.7667,21.35,44,97,4.07,SD,1672365585
258,kaeo,-35.1,173.7833,23.73,57,3,2.83,NZ,1672365585
259,coihaique,-45.5752,-72.0662,12.97,54,40,2.06,CL,1672365586
260,tiksi,71.6872,128.8694,-22.62,95,100,4.3,RU,1672365587
261,victoria,22.2855,114.1577,15.69,67,5,5.36,HK,1672365588
262,acarau,-2.8856,-40.12,26.04,82,2,5.04,BR,1672365447
263,beringovskiy,63.05,179.3167,-23.96,88,100,6.49,RU,1672365589
264,airai,-8.9266,125.4092,16.95,95,100,1.69,TL,1672365310
265,xiongzhou,25.1167,114.3,7.5,74,99,2.2,CN,1672365590
266,boa vista,2.8197,-60.6733,25.99,78,0,1.03,BR,1672365318
267,nemuro,43.3236,145.575,-1.4,65,34,8.19,JP,1672365591
268,kalmar,56.6616,16.3616,5.96,90,20,4.63,SE,1672365560
269,polovinnoye,54.7914,65.9864,-19.48,99,58,2.59,RU,1672365592
270,kavieng,-2.5744,150.7967,26.75,82,100,6.19,PG,1672365593
271,quatre cocos,-20.2078,57.7625,23.06,77,23,2.08,MU,1672365594
272,englewood,39.6478,-104.9878,-1.57,86,15,0.45,US,1672365475
273,hofn,64.2539,-15.2082,-7.7,68,19,9.06,IS,1672365595
274,boyolangu,-8.1181,111.8935,25.4,86,99,3.34,ID,1672365596
275,pisco,-13.7,-76.2167,21.03,83,0,5.66,PE,1672365597
276,dakar,14.6937,-17.4441,22.49,81,82,2.21,SN,1672365300
277,baragua,21.6967,-78.6328,22.62,87,8,2.87,CU,1672365598
278,iturbe,-26.05,-56.4833,22.08,39,47,1.44,PY,1672365598
279,krasnoselkup,65.7,82.4667,-27.59,100,86,2.88,RU,1672365599
280,san julian,21.0167,-102.1667,10.9,38,0,2.18,MX,1672365600
281,atambua,-9.1061,124.8925,24.01,88,100,2.52,ID,1672365601
282,saint-augustin,51.226,-58.6502,-12.46,84,27,4.6,CA,1672365602
283,palapye,-22.546,27.1251,24.54,51,82,5.01,BW,1672365602
